 
 "seed N d mu" 
 20 100 10 0.01 
 "Time N NumVariants F tF F_1% tF_1% EF theta minF meanF maxF mintF meantF maxtF mintF_1%Sample meantF_1%Sample maxtF_1%Sample atEquilibriumF belowEquilibriumF aboveEquilibriumF belowEquilibriumtF aboveEquilibriumtF belowEquilibriumtF_1%Sample aboveEquilibriumtF_1%Sample Ne meanKbar meanVk" 
 32 100 10 0.2962 2.3760972316002698 1 0 0.3333333333333333 2 0.2962 0.02962 0.2962 2.3760972316002698 0.237609723160027 2.3760972316002698 0 0 0 0 1 0 0 1 1 0 63.09375 0.1 0.11919191919191918 
 33 100 11 0.27480000000000004 2.639010189228529 1 0 0.3333333333333333 2 0.27480000000000004 0.057100000000000005 0.2962 2.3760972316002698 0.5015107420828799 2.639010189228529 0 0 0 0 2 0 0 2 2 0 63.06060606060606 0.2 0.21818181818181817 
 34 100 10 0.27380000000000004 2.652300949598246 1 0 0.3333333333333333 2 0.27380000000000004 0.08448000000000001 0.2962 2.3760972316002698 0.7667408370427046 2.652300949598246 0 0 0 0 3 0 0 3 3 0 63.088235294117645 0.30000000000000004 0.30707070707070705 
 35 100 9 0.3082 2.2446463335496434 1 0 0.3333333333333333 2 0.27380000000000004 0.11530000000000001 0.3082 2.2446463335496434 0.9912054703976689 2.652300949598246 0 0 0 0 4 0 0 4 4 0 63.2 0.4 0.4101010101010101 
 36 100 8 0.29 2.4482758620689657 1 0 0.3333333333333333 2 0.27380000000000004 0.1443 0.3082 2.2446463335496434 1.2360330566045654 2.652300949598246 0 0 0 0 5 0 0 5 5 0 63.02777777777778 0.5 0.5373737373737373 
 37 100 9 0.2592 2.858024691358025 1 0 0.3333333333333333 2 0.2592 0.17022 0.3082 2.2446463335496434 1.521835525740368 2.858024691358025 0 0 0 0 6 0 0 6 6 0 63.027027027027025 0.6 0.6424242424242423 
 38 100 10 0.31000000000000005 2.2258064516129026 1 0 0.3333333333333333 2 0.2592 0.20122 0.31000000000000005 2.2258064516129026 1.7444161709016581 2.858024691358025 0 0 0 0 7 0 0 7 7 0 62.973684210526315 0.7 0.7575757575757575 
 39 100 10 0.34040000000000004 1.9377203290246765 1 0 0.3333333333333333 2 0.2592 0.23526000000000002 0.34040000000000004 1.9377203290246765 1.9381882038041258 2.858024691358025 0 0 0 0 7 1 1 7 8 0 63.02564102564103 0.7999999999999999 0.8646464646464646 
 40 100 9 0.3806 1.627430373095113 1 0 0.3333333333333333 2 0.2592 0.27332 0.3806 1.627430373095113 2.100931241113637 2.858024691358025 0 0 0 0 7 2 2 7 9 0 62.95 0.8999999999999999 0.9919191919191919 
 41 100 10 0.3037999999999999 2.291639236339698 1 0 0.3333333333333333 2 0.2592 0.30369999999999997 0.3806 1.627430373095113 2.330095164747607 2.858024691358025 0 0 0 0 8 2 2 8 10 0 62.8780487804878 0.9999999999999999 1.1090909090909091 
