"BehaviorSpace results (NetLogo 6.0.4)"
"Crabtree_Gaul_Model_Final_SAA.nlogo"
"experiment"
"11/06/2019 12:16:34:262 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","random-seed","GrainTradeRate","harvest-calories","reproduction","buying-radius","life-expectancy","harvest-amount","number-Gauls","weighted-trade-choice","number-Colonists","planting-calories","two-colonist-populations?","number-mining-Gauls","Etruscan-arrival","metals?","Greek-arrival","[step]","behaviorspace-run-number","count turtles","count lineageA","count lineageB1","total-amphora"
"3","0","20","4","3","10","50","20","150","0","100","4","true","20","34","false","100","500","3","918","569","349","869590"
"7","0","20","4","3","10","50","20","150","10","100","4","true","20","34","false","100","500","7","1038","632","406","908220"
"5","0","20","4","3","10","50","20","150","0","100","4","true","20","34","true","100","500","5","954","589","365","877520"
"2","0","20","4","3","10","50","20","150","0","100","4","true","20","34","false","100","500","2","918","569","349","869590"
"4","0","20","4","3","10","50","20","150","0","100","4","true","20","34","true","100","500","4","954","589","365","877520"
"1","0","20","4","3","10","50","20","150","0","100","4","true","20","34","false","100","500","1","918","569","349","869590"
"6","0","20","4","3","10","50","20","150","0","100","4","true","20","34","true","100","500","6","954","589","365","877520"
"11","0","20","4","3","10","50","20","150","10","100","4","true","20","34","true","100","500","11","876","555","321","833120"
"10","0","20","4","3","10","50","20","150","10","100","4","true","20","34","true","100","500","10","876","555","321","833120"
"12","0","20","4","3","10","50","20","150","10","100","4","true","20","34","true","100","500","12","876","555","321","833120"
"8","0","20","4","3","10","50","20","150","10","100","4","true","20","34","false","100","500","8","1038","632","406","908220"
"14","0","20","4","3","10","50","20","150","20","100","4","true","20","34","false","100","500","14","920","636","262","717550"
"9","0","20","4","3","10","50","20","150","10","100","4","true","20","34","false","100","500","9","1038","632","406","908220"
"13","0","20","4","3","10","50","20","150","20","100","4","true","20","34","false","100","500","13","920","636","262","717550"
"15","0","20","4","3","10","50","20","150","20","100","4","true","20","34","false","100","500","15","920","636","262","717550"
"16","0","20","4","3","10","50","20","150","20","100","4","true","20","34","true","100","500","16","956","600","356","893490"
"18","0","20","4","3","10","50","20","150","20","100","4","true","20","34","true","100","500","18","956","600","356","893490"
"17","0","20","4","3","10","50","20","150","20","100","4","true","20","34","true","100","500","17","956","600","356","893490"
"20","0","20","4","3","10","50","20","150","30","100","4","true","20","34","false","100","500","20","886","611","258","742120"
"19","0","20","4","3","10","50","20","150","30","100","4","true","20","34","false","100","500","19","886","611","258","742120"
"21","0","20","4","3","10","50","20","150","30","100","4","true","20","34","false","100","500","21","886","611","258","742120"
"22","0","20","4","3","10","50","20","150","30","100","4","true","20","34","true","100","500","22","868","569","252","768170"
"23","0","20","4","3","10","50","20","150","30","100","4","true","20","34","true","100","500","23","868","569","252","768170"
"24","0","20","4","3","10","50","20","150","30","100","4","true","20","34","true","100","500","24","868","569","252","768170"
"26","0","20","4","3","10","50","20","150","40","100","4","true","20","34","false","100","500","26","862","600","177","706820"
"25","0","20","4","3","10","50","20","150","40","100","4","true","20","34","false","100","500","25","862","600","177","706820"
"27","0","20","4","3","10","50","20","150","40","100","4","true","20","34","false","100","500","27","862","600","177","706820"
"28","0","20","4","3","10","50","20","150","40","100","4","true","20","34","true","100","500","28","915","599","233","776590"
"29","0","20","4","3","10","50","20","150","40","100","4","true","20","34","true","100","500","29","915","599","233","776590"
"30","0","20","4","3","10","50","20","150","40","100","4","true","20","34","true","100","500","30","915","599","233","776590"
"31","0","20","4","3","10","50","20","150","50","100","4","true","20","34","false","100","500","31","937","612","180","796510"
"34","0","20","4","3","10","50","20","150","50","100","4","true","20","34","true","100","500","34","896","583","181","778940"
"32","0","20","4","3","10","50","20","150","50","100","4","true","20","34","false","100","500","32","937","612","180","796510"
"33","0","20","4","3","10","50","20","150","50","100","4","true","20","34","false","100","500","33","937","612","180","796510"
"35","0","20","4","3","10","50","20","150","50","100","4","true","20","34","true","100","500","35","896","583","181","778940"
"36","0","20","4","3","10","50","20","150","50","100","4","true","20","34","true","100","500","36","896","583","181","778940"
"40","0","20","4","3","10","50","20","150","60","100","4","true","20","34","true","100","500","40","879","576","131","810900"
"37","0","20","4","3","10","50","20","150","60","100","4","true","20","34","false","100","500","37","918","612","130","778200"
"38","0","20","4","3","10","50","20","150","60","100","4","true","20","34","false","100","500","38","918","612","130","778200"
"39","0","20","4","3","10","50","20","150","60","100","4","true","20","34","false","100","500","39","918","612","130","778200"
"41","0","20","4","3","10","50","20","150","60","100","4","true","20","34","true","100","500","41","879","576","131","810900"
"42","0","20","4","3","10","50","20","150","60","100","4","true","20","34","true","100","500","42","879","576","131","810900"
"43","0","20","4","3","10","50","20","150","70","100","4","true","20","34","false","100","500","43","1031","661","115","817240"
"47","0","20","4","3","10","50","20","150","70","100","4","true","20","34","true","100","500","47","937","623","119","808590"
"45","0","20","4","3","10","50","20","150","70","100","4","true","20","34","false","100","500","45","1031","661","115","817240"
"46","0","20","4","3","10","50","20","150","70","100","4","true","20","34","true","100","500","46","937","623","119","808590"
"44","0","20","4","3","10","50","20","150","70","100","4","true","20","34","false","100","500","44","1031","661","115","817240"
"48","0","20","4","3","10","50","20","150","70","100","4","true","20","34","true","100","500","48","937","623","119","808590"
"49","0","20","4","3","10","50","20","150","80","100","4","true","20","34","false","100","500","49","1012","647","85","887870"
"53","0","20","4","3","10","50","20","150","80","100","4","true","20","34","true","100","500","53","875","578","31","744530"
"52","0","20","4","3","10","50","20","150","80","100","4","true","20","34","true","100","500","52","875","578","31","744530"
"50","0","20","4","3","10","50","20","150","80","100","4","true","20","34","false","100","500","50","1012","647","85","887870"
"54","0","20","4","3","10","50","20","150","80","100","4","true","20","34","true","100","500","54","875","578","31","744530"
"51","0","20","4","3","10","50","20","150","80","100","4","true","20","34","false","100","500","51","1012","647","85","887870"
"55","0","20","4","3","10","50","20","150","90","100","4","true","20","34","false","100","500","55","1060","673","28","946460"
"56","0","20","4","3","10","50","20","150","90","100","4","true","20","34","false","100","500","56","1060","673","28","946460"
"59","0","20","4","3","10","50","20","150","90","100","4","true","20","34","true","100","500","59","1001","624","0","890000"
